term,OR,conf.low,conf.high,p.value
(Intercept),0.016537823625053214,0.011702888692639954,0.023370265020582006,1.4424226938728742e-119
age_c,1.015088060064351,1.0118542434689868,1.0183322117152234,3.6268069249887125e-20
sexM,1.7237288317459432,1.4996321408252649,1.981313286441784,1.821043427381189e-14
year_c,1.0451275958518278,1.0271026788887452,1.0634688372079861,6.601934593173898e-7
