Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
63.315941009560106,-262.6845584716651,389.31644049078534,-435.25879847331487,561.8906804924351
101.33365382338138,-313.48749663638864,516.1548042831514,-533.0805490738055,735.7478567205683
131.24813871995423,-330.07210710086395,592.5683845407724,-574.2802937342923,836.7765711742007
154.78654596211618,-333.10701538086397,642.6801073050963,-591.3822655244979,900.9553574487303
173.30789498127774,-330.33607122335917,676.9518611859146,-596.9490820546121,943.5648720171675
187.88153906689553,-325.27192368282095,701.0350018166121,-596.9189579026176,972.6820360364086
199.34890581834168,-319.6049602076522,718.3027718443356,-594.3225424440916,993.020354080775
208.37207802150704,-314.1407941140459,730.88495015706,-590.7424003795767,1007.4865564225908
215.47201982791253,-309.23228666704074,740.1763263228657,-586.9939682075751,1017.9380078634001
221.05865527266891,-304.9978870189325,747.1151975642704,-583.4753989501593,1025.592709495497
225.45453575220336,-301.4374945799301,752.3465660843368,-580.3572871636551,1031.266358668062
228.91346293322948,-298.49519070728815,756.322116573747,-577.6884671505575,1035.5153930170165
